image_id,magazine_id,image_number,in_out,explicit,symbol,weapon,gruesome,narrative,strength,caption
D6_46,D6,46,1,0,0,0,0,6,0,1
D6_47,D6,47,0,0,0,1,0,7,1,1
D6_48,D6,48,0,0,0,0,0,7,1,1
D6_49,D6,49,1,0,0,0,0,6,2,1
D6_50,D6,50,1,0,0,0,0,6,2,1
D6_51,D6,51,-99,-99,0,0,0,0,0,0
D6_52,D6,52,0,0,0,0,0,0,0,1
D6_53,D6,53,1,0,0,0,0,7,1,0
D6_54,D6,54,0,0,2,0,0,0,0,1
D6_55,D6,55,1,0,0,1,0,0,1,1
D6_56,D6,56,1,0,0,0,1,1,1,1
D6_57,D6,57,0,0,0,1,0,0,0,1
D6_58,D6,58,0,0,0,1,0,0,0,1
D6_59,D6,59,0,0,0,1,0,7,1,1
D6_60,D6,60,1,0,0,1,0,0,0,1
D6_61,D6,61,1,0,0,0,0,6,2,1
D6_62,D6,62,0,0,0,1,0,0,0,1
D6_63,D6,63,1,0,0,0,0,0,0,1
D6_64,D6,64,1,0,0,0,0,0,0,0
D6_65,D6,65,1,0,0,0,0,0,0,1
D6_66,D6,66,-99,-99,0,0,0,0,0,0
D6_67,D6,67,0,1,0,0,0,2,1,1
D6_68,D6,68,1,0,0,0,0,6,2,1
D6_69,D6,69,1,1,0,0,0,0,0,1
D6_70,D6,70,0,0,5,0,0,0,0,0
D7_1,D7,1,1,0,0,0,0,6,1,0
D7_2,D7,2,0,0,8,1,0,4,2,1
D7_3,D7,3,0,0,8,1,0,4,2,1
D7_4,D7,4,1,0,8,0,1,4,2,1
D7_5,D7,5,0,0,0,0,1,5,2,1
D7_6,D7,6,1,0,0,0,0,6,1,1
D7_7,D7,7,1,0,0,0,1,4,2,1
D7_8,D7,8,0,0,0,1,0,0,0,0
D7_9,D7,9,0,0,0,1,0,7,0,0
D7_10,D7,10,0,0,0,1,0,3,1,0
D7_11,D7,11,0,0,0,1,0,0,0,0
D7_12,D7,12,-99,-99,0,0,0,0,0,0
D7_13,D7,13,1,0,0,0,0,6,1,1
D7_14,D7,14,1,0,0,0,0,6,2,1
D7_15,D7,15,0,1,0,1,0,0,0,0
D7_16,D7,16,1,0,0,0,0,6,2,1
D7_17,D7,17,0,0,0,0,0,7,2,1
D7_18,D7,18,0,0,0,1,0,7,1,0
D7_19,D7,19,0,0,0,0,0,0,0,0
D7_20,D7,20,1,0,0,0,0,0,0,0
D7_21,D7,21,1,0,8,0,0,0,0,0
D7_22,D7,22,0,0,8,1,0,4,1,1
