"image","magazine_id","time","image_number","in_out","explicit","symbol","weapon","gruesome","narrative","strength","caption","outgroup","ingroup","crisis","solution","jihad","utopia","punish","unity","outplot","sinful","victim","occupy"
"D3_39","D3",3,39,1,0,0,0,0,7,2,1,1,0,0,1,1,0,0,0,0,0,0,0
"D3_40","D3",3,40,1,0,0,0,0,7,2,1,1,0,0,1,1,0,0,0,0,0,0,0
"D3_41","D3",3,41,0,0,0,1,0,7,2,1,0,1,0,1,1,0,0,0,0,0,0,0
"D3_42","D3",3,42,0,0,0,1,0,7,2,1,0,1,0,1,1,0,0,0,0,0,0,0
"D3_43","D3",3,43,0,0,0,1,1,4,2,1,0,1,0,1,0,0,1,0,0,0,0,0
"D3_44","D3",3,44,0,0,2,1,0,7,2,1,0,1,0,1,1,0,0,0,0,0,0,0
"D3_45","D3",3,45,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"D3_46a","D3",3,46,1,0,0,0,0,4,1,1,1,0,0,1,0,0,1,0,0,0,0,0
"D3_46b","D3",3,47,1,0,0,0,1,4,2,1,1,0,0,1,0,0,1,0,0,0,0,0
"D3_46c","D3",3,48,1,0,0,0,0,4,1,1,1,0,0,1,0,0,1,0,0,0,0,0
"D3_47","D3",3,49,-99,-99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D3_48","D3",3,50,-99,-99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D3_49","D3",3,51,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D3_50","D3",3,52,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D3_51","D3",3,53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D3_52","D3",3,54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D3_53","D3",3,55,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"D3_54","D3",3,56,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D3_55","D3",3,57,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D3_56","D3",3,58,0,1,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"D3_57","D3",3,59,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D3_58","D3",3,60,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"D3_59","D3",3,61,1,0,0,0,0,8,1,0,1,0,1,0,0,0,0,0,0,0,0,1
"D3_60","D3",3,62,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"D3_61","D3",3,63,1,0,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"D3_62","D3",3,64,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"D3_63","D3",3,65,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"D3_64","D3",3,66,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"D3_65","D3",3,67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D4_1","D4",4,1,0,1,2,0,0,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"D4_2","D4",4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D4_3","D4",4,3,0,0,0,0,0,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0
